reference_id,source_id,talk_title,speaker,institution,source_url,local_cache_file,actual_page_number,page_function,scientific_object,evidence_type,title_style,visual_dominance,approximate_figure_text_ratio,equation_usage,uncertainty_handling,negative_result_handling,why_this_specific_page_works,what_to_learn,what_not_to_copy,suitable_contexts,rights_note,verification_status,source_file_sha256,rendered_page_sha256,inspection_date,inspection_means,visible_page_title,short_page_specific_observation
RRL-027,SRC-013,Bayesian Workflow,Andrew Gelman,Columbia / University of Washington Biostatistics,https://sites.stat.columbia.edu/gelman/presentations/bayesian_workflow.pdf,gelman_actual_bayesian_workflow.pdf,36,POSTERIOR_DIAGNOSTIC,skewed posterior distribution,posterior diagnostic,diagnostic title,scatter dominant,0.75/0.25,none,skew and scale visible,none,The diagnostic page uses posterior scatterplots to reveal parameterization trouble.,"Use posterior diagnostic pages to show shape, not only convergence tables.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,00558f5289645182a95963da272ece15629b3c1479ba9e306c402ac2f8676394,491f84c34df283fe1b526b7d3e447878ebfe998244009b01e66e800e482ccc73,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Skewed posterior distribution,Two posterior scatterplots reveal skewed posterior structure.
RRL-028,SRC-054,Should the problems with polls make us worry about the quality of health surveys?,Andrew Gelman,Centers for Disease Control and Prevention,https://sites.stat.columbia.edu/gelman/presentations/mrp_talk_cdc.pdf,gelman_actual_mrp_talk_cdc.pdf,14,ESTIMATOR,poststratification identity,estimator formula,formula title,formula dominant,0.35/0.65,central,not explicit,none,"The estimator is isolated before applying it, so the audience can read the target quantity.",Put estimand/estimator formulas on sparse pages when they define the rest of the talk.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,40ee6a3462d158c57806e546d54ecd55664ac4cd9fe9f3a2dd6cf8b1eb603500,2870d8b698a549f76ae398de63b1340ce2ca66e3433e4ab281321c148f5b5dd4,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,The poststratification identity,Poststratification identity is shown as the sole object.
RRL-029,SRC-054,Should the problems with polls make us worry about the quality of health surveys?,Andrew Gelman,Centers for Disease Control and Prevention,https://sites.stat.columbia.edu/gelman/presentations/mrp_talk_cdc.pdf,gelman_actual_mrp_talk_cdc.pdf,20,REAL_DATA_APPLICATION,survey support by demographic cells,survey data plot,application result,small multiples,0.75/0.25,none,variation across cells visible,none,The page shows the actual cell structure behind a hierarchical regression story.,Biostat/survey pages should expose units and cell structure before model conclusions.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,40ee6a3462d158c57806e546d54ecd55664ac4cd9fe9f3a2dd6cf8b1eb603500,92b41286083146dbedfa07996bf444ba79c79091decc6cba8c10a6aabf10da22,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"Survey support is broken down by sex, race, age, and education.","Survey support is broken down by sex, race, age, and education."
RRL-030,SRC-054,Should the problems with polls make us worry about the quality of health surveys?,Andrew Gelman,Centers for Disease Control and Prevention,https://sites.stat.columbia.edu/gelman/presentations/mrp_talk_cdc.pdf,gelman_actual_mrp_talk_cdc.pdf,21,CONFIDENCE_INTERVAL,XBox estimates adjusting for demographics,time-series interval,result title,plot dominant,0.75/0.25,none,interval band visible,none,The plot conveys temporal uncertainty and adjusted estimate movement.,Show adjusted estimate and uncertainty together when discussing survey quality.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,40ee6a3462d158c57806e546d54ecd55664ac4cd9fe9f3a2dd6cf8b1eb603500,ffda9252e683ce92c36237805399cff57e849851a431b064ada03187e666d1ad,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"Xbox estimates, adjusting for demographics:",Grey interval band and smoothed estimate show poll movement.
RRL-031,SRC-054,Should the problems with polls make us worry about the quality of health surveys?,Andrew Gelman,Centers for Disease Control and Prevention,https://sites.stat.columbia.edu/gelman/presentations/mrp_talk_cdc.pdf,gelman_actual_mrp_talk_cdc.pdf,30,REFERENCE_COVERAGE_GAP,open problems in MRP,coverage gap,open-problem title,text list,0.20/0.80,none,uncertainty expressed as open problems,none,The page is useful as a coverage-gap record rather than as a visual template.,Record unresolved statistical issues as acquisition priorities for later rounds.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,40ee6a3462d158c57806e546d54ecd55664ac4cd9fe9f3a2dd6cf8b1eb603500,b4b0240ad15e6eba92bbc41880532c5057fd4ecfcd24714b79004660877c1a27,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Open problems in MRP,Deep interactions and non-census variables are explicit open MRP problems.
RRL-032,SRC-055,Taking Bayesian inference seriously,Andrew Gelman,Harvard conference on Big Data,https://sites.stat.columbia.edu/gelman/presentations/bayes_harvard_bigdata.pdf,gelman_actual_bayes_harvard_bigdata.pdf,14,SENSITIVITY_ANALYSIS,p-value / power illustration,design sensitivity,interpretive title,annotated distribution,0.65/0.35,none,type S/M errors annotated,none,The slide turns an abstract statistical concept into an annotated distribution with thresholds.,Sensitivity-analysis pages should annotate the error mechanism directly on the plot.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,f0f812b264a6401d7c1aaa9875d79505e140250918ff9154daf98adf6174188e,beccf4c263b1331fc0c4e258ab8a18cd319764c45fc5a40d0c0f65406f7fd7dd,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"This is what ""power = 0.06"" looks like.",Power and exaggeration error are marked on a normal curve.
RRL-033,SRC-055,Taking Bayesian inference seriously,Andrew Gelman,Harvard conference on Big Data,https://sites.stat.columbia.edu/gelman/presentations/bayes_harvard_bigdata.pdf,gelman_actual_bayes_harvard_bigdata.pdf,16,CONFIDENCE_INTERVAL,design sensitivity in criminal justice experiments,forest plot,paper title,interval figure,0.70/0.30,none,confidence intervals dominate,null effects noted,The page uses a real policy paper and interval plot to show small/nonzero effects.,Tie applied-study pages to the source paper and the interval evidence.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,f0f812b264a6401d7c1aaa9875d79505e140250918ff9154daf98adf6174188e,a129e3e829795e9b15e835b62e252c26e46bd9a69e822d608f390899fc8c0d0c,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"Coefs predicting change in attitude,",Effect estimates across cities are shown with intervals and notes about null effects.
RRL-034,SRC-055,Taking Bayesian inference seriously,Andrew Gelman,Harvard conference on Big Data,https://sites.stat.columbia.edu/gelman/presentations/bayes_harvard_bigdata.pdf,gelman_actual_bayes_harvard_bigdata.pdf,24,STATISTICAL_MODEL,Bayesian toy model construction,model reveal,example title,formula plus image,0.40/0.60,central,inference elements revealed stepwise,none,"The model is built progressively so data, parameters, and inference roles become legible.","For model teaching, reveal model components step by step.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,f0f812b264a6401d7c1aaa9875d79505e140250918ff9154daf98adf6174188e,bbe4f5e059bae096312395f66f36a848e7f2a1ceeb3ddf40c2f3f86aa1ba6948,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,My new favorite example,"Toy model bullets expose y, theta, sigma, data and inference."
RRL-035,SRC-056,Toward Routine Use of Informative Priors,Andrew Gelman,ICML workshop on data-efficient machine learning,https://sites.stat.columbia.edu/gelman/presentations/routine_priors.pdf,gelman_actual_routine_priors.pdf,23,ASSUMPTION,limitations of existing solutions,limitation list,question title,text dominant,0.15/0.85,none,expert uncertainty explicit,limitation is central,The page makes why current solutions fail explicit before proposing a prior-based fix.,Assumption pages can be text-heavy if they state why current approaches fail.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,e6939aa5edc6c7a591deaaf47aada2335734459623f0ec28bb109a633869c49f,c4a11846a5592f53336b447636bd31841cc74af9d413a3fc95d893d0832062ee,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"How is it solved today, and what are the limitations of",Limits of eliciting priors from experts are listed.
RRL-036,SRC-056,Toward Routine Use of Informative Priors,Andrew Gelman,ICML workshop on data-efficient machine learning,https://sites.stat.columbia.edu/gelman/presentations/routine_priors.pdf,gelman_actual_routine_priors.pdf,24,BAYESIAN_MODEL,hierarchical model and informative priors,Bayesian solution,solution title,equation bullets,0.35/0.65,central,weak/informative priors named,none,The page turns the limitation into a hierarchical-model strategy.,Bayesian workflow pages should connect prior choices to the problem they solve.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,e6939aa5edc6c7a591deaaf47aada2335734459623f0ec28bb109a633869c49f,0a6ee4ca03a58d21a2b6fe7ea22f62258da62f12de03ac1d84d839460b4378f4,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,How will we solve the problem?,Hierarchical model and weakly informative priors are named as the solution.
RRL-037,SRC-056,Toward Routine Use of Informative Priors,Andrew Gelman,ICML workshop on data-efficient machine learning,https://sites.stat.columbia.edu/gelman/presentations/routine_priors.pdf,gelman_actual_routine_priors.pdf,27,SIMULATION,simulate fake data in R,fake-data simulation,simulation title,code plus scatter,0.45/0.55,light code,simulated variation visible,none,The page checks model behavior by making fake data visible.,"Simulation pages need code, generated data, and the model purpose.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,e6939aa5edc6c7a591deaaf47aada2335734459623f0ec28bb109a633869c49f,5688f74307c6e7a58fc3f7b80815a686f653a346e22cb38d093839a716d261d5,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Simulate fake data in R,R code and scatter appear together.
RRL-038,SRC-056,Toward Routine Use of Informative Priors,Andrew Gelman,ICML workshop on data-efficient machine learning,https://sites.stat.columbia.edu/gelman/presentations/routine_priors.pdf,gelman_actual_routine_priors.pdf,32,BAYESIAN_MODEL,informative prior distribution,prior specification,prior title,formula dominant,0.20/0.80,central,prior scale explicit,none,The slide states the prior distribution as a first-class modeling object.,"Prior pages should show distribution and scale, not just say 'regularize'.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,e6939aa5edc6c7a591deaaf47aada2335734459623f0ec28bb109a633869c49f,7e928ae8fdc65db37b45893199d8618e78ab868c2a0d307f080b8f3c1096633b,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Informative prior distribution,Normal priors for log_a and log_b are shown.
RRL-039,SRC-057,Bayes en médecine : Les possibilités et les risques,Andrew Gelman,Conférence EPICLIN,https://sites.stat.columbia.edu/gelman/presentations/epiclin.pdf,gelman_actual_epiclin.pdf,14,REAL_DATA_APPLICATION,data and regression figure,clinical regression example,data title,plot dominant,0.70/0.30,none,interval / trend visible,none,The page uses an applied regression figure before deriving clinical interpretation.,Clinical stats pages should expose the observed trend and uncertainty before prose.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,6d049d35472424dcf13744570d407a13cec07867db19d26693a996cb4f22a06c,612ba02ff02b65f89cb03724497a9ae846c4bfb6a428e08754d30084c1acf0f2,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Les données et la régression,Regression line and shaded uncertainty are visible.
RRL-040,SRC-057,Bayes en médecine : Les possibilités et les risques,Andrew Gelman,Conférence EPICLIN,https://sites.stat.columbia.edu/gelman/presentations/epiclin.pdf,gelman_actual_epiclin.pdf,21,CONFIDENCE_INTERVAL,confidence intervals do not respect prior information,confidence interval principle,principle title,text principle,0.15/0.85,none,prior-information limitation explicit,none,The principle page states a conceptual limitation that motivates Bayesian treatment.,Use principle pages sparingly when they frame later evidence.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,6d049d35472424dcf13744570d407a13cec07867db19d26693a996cb4f22a06c,cec351c94a66ad719f68ea18d7c08b7a969f8ef6510181ec597b6b15246a4818,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Principe 2: Les intervalles de confiance ne respectent pas les,Confidence-interval limitation is stated in one sentence.
RRL-041,SRC-057,Bayes en médecine : Les possibilités et les risques,Andrew Gelman,Conférence EPICLIN,https://sites.stat.columbia.edu/gelman/presentations/epiclin.pdf,gelman_actual_epiclin.pdf,28,NEGATIVE_RESULT,histogram of p-values for fertility relationship,p-value distribution,possibilities title,histogram dominant,0.65/0.35,none,distribution shape visible,p-value weakness explicit,"The page shows the many-choices problem as a p-value distribution, not a slogan.",Negative statistical-method pages should show the failure distribution.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,6d049d35472424dcf13744570d407a13cec07867db19d26693a996cb4f22a06c,37d4b73fe2ded49d3e4f7da1c08ef1b26b9b6a5c7f5e983f7296e2a52bd6026e,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Toutes les possibilités,Histogram of p-values appears after possible analyses are enumerated.
RRL-042,SRC-057,Bayes en médecine : Les possibilités et les risques,Andrew Gelman,Conférence EPICLIN,https://sites.stat.columbia.edu/gelman/presentations/epiclin.pdf,gelman_actual_epiclin.pdf,29,BAYESIAN_MODEL,Bayesian solution to comparison multiplicity,Bayesian workflow list,solution title,text recipe,0.20/0.80,none,variation accepted explicitly,none,"The solution page names comparison enumeration, population adjustment, and accepting variation.",Pair negative-result pages with a concrete modeling response.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,6d049d35472424dcf13744570d407a13cec07867db19d26693a996cb4f22a06c,7b5754a883eaad213b5aa3e2761987c290c2e249c1be911cdb43cd405246d5e0,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,La solution bayésienne,Bayesian solution bullets follow the p-value problem.
RRL-043,SRC-058,What is Bayesian data analysis? Some examples,Andrew Gelman,New School,https://sites.stat.columbia.edu/gelman/presentations/bayes_lecture.pdf,gelman_actual_bayes_lecture.pdf,15,MODEL_CHECK,Bayesian data analysis model checking,model checking checklist,workflow title,text checklist,0.20/0.80,none,questions about fit explicit,none,The checklist defines what model checking must answer before improving the model.,Checklist pages can be useful when each question maps to a later diagnostic.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,a6bdef3b27eeb54456da4823c7209643901aadf5f029ea1dbdbf6bafaf192422,6083bd1d695d6e463581b032d84a6d4a0520f1aeb9e1178de5ecee1650dfc404,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Bayesian data analysis: (3) Model checking/improvement,Questions ask if inferences make sense and whether model predictions fit data.
RRL-044,SRC-058,What is Bayesian data analysis? Some examples,Andrew Gelman,New School,https://sites.stat.columbia.edu/gelman/presentations/bayes_lecture.pdf,gelman_actual_bayes_lecture.pdf,25,BAYESIAN_MODEL,Bayesian inference workflow for a pharmacokinetic model,modeling workflow,inference title,text plus equations,0.30/0.70,central,posterior comparison named,none,"The page distinguishes parameter estimation, posterior checking, and future prediction.",Bayesian workflow pages should separate inference targets and checks.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,a6bdef3b27eeb54456da4823c7209643901aadf5f029ea1dbdbf6bafaf192422,6420d870ea3e1b50e09c73d3ee11644901058b25bfa2e50a7c45acf04b2286f2,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Bayesian inference,"Inference bullets separate PK parameters, concentration predictions, and checks."
RRL-045,SRC-058,What is Bayesian data analysis? Some examples,Andrew Gelman,New School,https://sites.stat.columbia.edu/gelman/presentations/bayes_lecture.pdf,gelman_actual_bayes_lecture.pdf,31,REAL_DATA_APPLICATION,inference for the population,population inference curves,population title,curve plot,0.75/0.25,none,population bands visible,none,The page moves from individual inference to population inference with curves.,"Show the inferential population target, not only the fitted individual cases.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,a6bdef3b27eeb54456da4823c7209643901aadf5f029ea1dbdbf6bafaf192422,43ec57f3acf3b4ed4e2c5d533b2e54f34cc0a23755de939e34f6d1cb7b3cb891,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Inference for the population,Multiple curves show population-level prediction.
RRL-046,SRC-058,What is Bayesian data analysis? Some examples,Andrew Gelman,New School,https://sites.stat.columbia.edu/gelman/presentations/bayes_lecture.pdf,gelman_actual_bayes_lecture.pdf,57,POSTERIOR_DIAGNOSTIC,generated quantities probability calculation,generated quantities,computation title,code dominant,0.25/0.75,central,posterior probability computed,none,The page shows generated quantities as the bridge from model fit to decision probability.,Generated-quantity pages should name the decision quantity being computed.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF linked from speaker presentation archive; metadata lessons only,inspected,a6bdef3b27eeb54456da4823c7209643901aadf5f029ea1dbdbf6bafaf192422,082a5e70b88eac8b85977c8e349208e40052ee63e1c54baf84adcca5314d235b,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"For each series, compute probability of it being in each",Stan generated quantities code computes win probabilities.
RRL-047,SRC-017,Lei Robins Wasserman,Ryan Tibshirani course archive,Carnegie Mellon University,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Lei-Robins-Wasserman.pdf,cmu_statml_Lei-Robins-Wasserman.pdf,4,SECONDARY_STATISTICAL_INTUITION,prediction set illustrations,conformal prediction intuition,paper page,paper figures,0.55/0.45,central,coverage intuition visible,none,"This is a paper/lecture PDF, useful for conformal-intuition references but not a primary talk template.",Use secondary sources for theorem/statistical intuition only.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",theorem/equation explanation; statistics teaching backup,public course PDF; metadata lessons only,inspected,0e3e428c0f6fa2ee4b5cb6c099905eac5e729a5a05ce143f2231a0873a62a00b,8051926d3f567d90be12a997653fe64e886a6e7a348f7d89ab2d5ae6b9ad9622,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"Journal of the American Statistical Association, March 2013",Distribution-free prediction sets paper page shows example prediction sets.
RRL-048,SRC-017,Lei Robins Wasserman,Ryan Tibshirani course archive,Carnegie Mellon University,https://www.stat.cmu.edu/~ryantibs/statml/lectures/Lei-Robins-Wasserman.pdf,cmu_statml_Lei-Robins-Wasserman.pdf,10,THEOREM,semiparametric equations and assumptions,theorem / proof,paper page,equation dominant,0.20/0.80,central,asymptotic assumptions visible,none,The dense theorem page is useful to decide what belongs in backup rather than main slides.,"Keep proof-heavy theory pages as backup inspiration, not main deck layout.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",theorem/equation explanation; backup technical material,public course PDF; metadata lessons only,inspected,0e3e428c0f6fa2ee4b5cb6c099905eac5e729a5a05ce143f2231a0873a62a00b,f14992669cf74c81aeb71c7ac5fadd7b11daee7798e6a8659f62ba10f792f6c9,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"Journal of the American Statistical Association, March 2013",Equations and assumptions dominate the page.
RRL-049,SRC-075,On the Limitations of Stochastic Pre-processing Defenses,"Yue Gao, Ilia Shumailov, Kassem Fawaz, Nicolas Papernot",NeurIPS 2022,https://neurips.cc/media/neurips-2022/Slides/54675.pdf,neurips2022_stochastic_preprocessing_defenses.pdf,24,DISCUSSION,discussion transition prompt,discussion framing,section title,text dominant,0.05/0.95,none,none,none,A divider can frame a question but does not carry enough evidence for production-gold admission.,"Use only as a weak transition reference, not as a gold layout.",No scientific object is present.,ordinary inspected reference; rejected 026 candidate,public NeurIPS slide PDF; composition lessons only,inspected,08228ffa60a9fa862d03aad71c3203fbd444aeb68cdc90a4f90cf0f96f3fc279,ecb064452cba8a5ad158ce3dc78a4c459b92a8b4dbbae4a340f4a9050ceafd17,2026-08-24,"026 bounded recovery: public source downloaded, pdftotext semantic prescreened, selected page rendered with pdftoppm -r 140, and admitted or rejected by 026 gpt-5.6-terra item-level review",section title,Discussion divider without evidence object.
RRL-050,SRC-075,On the Limitations of Stochastic Pre-processing Defenses,"Yue Gao, Ilia Shumailov, Kassem Fawaz, Nicolas Papernot",NeurIPS 2022,https://neurips.cc/media/neurips-2022/Slides/54675.pdf,neurips2022_stochastic_preprocessing_defenses.pdf,25,DISCUSSION,interpretive limitation conclusion,discussion synthesis,claim title,text dominant,0.10/0.90,none,none,limitations discussed,The page states a conclusion but does not connect it to a proposed validation action.,Keep interpretation concise when evidence has already been shown.,Do not use text-only conclusion pages as gold discussion compositions.,ordinary inspected reference; rejected 026 candidate,public NeurIPS slide PDF; composition lessons only,inspected,08228ffa60a9fa862d03aad71c3203fbd444aeb68cdc90a4f90cf0f96f3fc279,2e98fe1cc0c91a76382b353a81359a6cb992413f8cf7d21bd9e22335aa7d17a4,2026-08-24,"026 bounded recovery: public source downloaded, pdftotext semantic prescreened, selected page rendered with pdftoppm -r 140, and admitted or rejected by 026 gpt-5.6-terra item-level review",claim title,Conclusion slide lacks evidence object or next test.
RRL-051,SRC-075,On the Limitations of Stochastic Pre-processing Defenses,"Yue Gao, Ilia Shumailov, Kassem Fawaz, Nicolas Papernot",NeurIPS 2022,https://neurips.cc/media/neurips-2022/Slides/54675.pdf,neurips2022_stochastic_preprocessing_defenses.pdf,26,NEXT_EXPERIMENT,future research implications list,next research directions,question title,brace plus bullets,0.25/0.75,none,not explicit,none,The page groups future directions with a brace but remains generic without validation logic.,Group related future directions visibly.,Do not admit generic future-work lists without evidence-to-test structure.,ordinary inspected reference; rejected 026 candidate,public NeurIPS slide PDF; composition lessons only,inspected,08228ffa60a9fa862d03aad71c3203fbd444aeb68cdc90a4f90cf0f96f3fc279,94b1071001b0f20de82ee32517c78fa41c5007e0a281d55bba714126479fe97b,2026-08-24,"026 bounded recovery: public source downloaded, pdftotext semantic prescreened, selected page rendered with pdftoppm -r 140, and admitted or rejected by 026 gpt-5.6-terra item-level review",question title,Future direction bullets are readable but generic.
RRL-052,SRC-076,Digital Twins: Research Gaps & Future Directions,Karen E. Willcox,Institute for Mathematical and Statistical Innovation,https://cdn.imsi.institute/videos/73339/pHUmxZztZj/slides.pdf,imsi_research_gaps_future_directions.pdf,29,NEXT_EXPERIMENT,digital twin VVUQ recommendation illustration,future research recommendation,recommendation title,illustration plus bullets,0.45/0.55,none,uncertainty named,none,The page uses a relevant system illustration but keeps the next research need broad.,Pair recommendations with concrete visual systems.,Do not copy broad recommendation pages without a specific experiment plan.,ordinary inspected reference; rejected 026 candidate,public IMSI slide PDF; composition lessons only,inspected,24c2788a4acd45457384b1ba5aa506a4ca766b61e7df345d842863983e168872,ec0b392168aec4308542ac738dbafaa5679d4faab742ba626fde5c162347b0ef,2026-08-24,"026 bounded recovery: public source downloaded, pdftotext semantic prescreened, selected page rendered with pdftoppm -r 140, and admitted or rejected by 026 gpt-5.6-terra item-level review",recommendation title,Digital twin lifecycle illustration supports a broad recommendation.
RRL-053,SRC-076,Digital Twins: Research Gaps & Future Directions,Karen E. Willcox,Institute for Mathematical and Statistical Innovation,https://cdn.imsi.institute/videos/73339/pHUmxZztZj/slides.pdf,imsi_research_gaps_future_directions.pdf,40,DISCUSSION,fitness-for-purpose tradeoff diagram,research gap discussion,claim title,diagram dominant,0.55/0.45,none,tradeoffs visible,none,The page has a tradeoff object but visible clipping prevents gold admission.,Tradeoff diagrams can structure research-gap discussion.,Do not reuse pages with clipping or undersized labels as gold.,ordinary inspected reference; rejected 026 candidate,public IMSI slide PDF; composition lessons only,inspected,24c2788a4acd45457384b1ba5aa506a4ca766b61e7df345d842863983e168872,dbf14b73b8a3741b50a27d73cfe537d0abf5a54520d15a40eee417e0737db408,2026-08-24,"026 bounded recovery: public source downloaded, pdftotext semantic prescreened, selected page rendered with pdftoppm -r 140, and admitted or rejected by 026 gpt-5.6-terra item-level review",claim title,Tradeoff diagram is useful but clipped.
